English,Turkish
the,.
and,ve
have,Sahip olmak
that,o
for,için
you,sen
with,ile birlikte
say,söylemek
this,Bu
they,onlar
but,ancak
his,onun
from,itibaren
not,olumsuzluk
she,o
as,olarak
what,ne
their,onların
can,Yapabilmek
who,kim
get,almak
would,istemek
her,o
all,o
make,Yapmak
about,hakkında
know,bilmek
will,niyet
one,bir
time,zaman
there,orada
year,yıl
think,düşünmek
when,ne zaman
which,Hangi
them,onlara
some,bazı
people,insanlar
take,almak
out,dışarı
into,içine
just,sadece
see,görmek
him,o
your,senin
come,gelmek
could,abilir
now,şimdi
than,hariç
like,beğenmek
other,başka
how,nasıl
then,sonra
its,onun
our,bizim
two,iki
more,daha fazla
these,bunlar
want,istek
way,yol
look,bakmak
first,ilk
also,ayrıca
new,yeni
because,çünkü
day,gün
use,kullanmak
man,adam
find,bulmak
here,burada
thing,şey
give,vermek
many,birçok
well,kuyu
only,sadece
those,şunlar
tell,söylemek
very,çok
even,Bile
back,geri
any,hiç
good,iyi
woman,Kadın
through,vasıtasıyla
life,hayat
child,çocuk
work,iş
down,aşağı
may,Mayıs
after,sonrasında
should,meli
call,aramak
world,dünya
over,üzerinde
school,okul
still,hâlâ
try,denemek
last,geçen
ask,sormak
need,ihtiyaç
too,fazla
feel,hissetmek
three,üç
state,durum
never,asla
become,olmak
between,arasında
high,yüksek
really,Gerçekten
something,bir şey
most,çoğu
another,bir diğer
much,fazla
family,aile
own,sahip olmak
leave,ayrılmak
put,koy
old,eskimiş
while,süre
mean,kastetmek
keep,Tut
student,Öğrenci
why,Niye
let,İzin Vermek
great,İyi
same,aynı
big,büyük
group,grup
begin,başlamak
seem,gözükmek
country,ülke
help,Yardım Edin
talk,konuşmak
where,nerede
turn,dönüş
problem,sorun
every,her
start,Başlat
hand,el
might,Might
American,Amerikan
show,göstermek
part,Bölüm
against,karşı
place,yer
such,çok
again,Yeniden
few,az
case,dava
week,hafta
company,şirket
system,sistem
each,her biri
right,Sağ
program,program
hear,duymak
question,soru
during,sırasında
play,Oyna
government,devlet
run,koşmak
small,küçük
number,sayı
off,kapalı
always,Her zaman
move,hareket
night,gece
live,canlı
Mr,Bay
point,puan
believe,inanmak
hold,tutmak
today,bugün
bring,getirmek
happen,olmak
next,sonraki
without,olmadan
before,önceki
large,büyük
million,milyon
must,zorunlu
home,ev
under,altında
water,su
room,oda
write,yazmak
mother,anne
area,alan
national,Ulusal
money,para
story,Öykü
young,genç
fact,hakikat
month,ay
different,farklı
lot,pay
study,ders çalışma
book,kitap
eye,göz
job,Görev
word,kelime
though,Yine de
business,işletme
issue,sorun
side,yan
kind,tür
four,dört
head,kafa
far,uzak
black,siyah
long,uzun
both,ikisi birden
little,biraz
house,ev
yes,evet
since,dan beri
provide,sağlamak
service,hizmet
around,etrafında
friend,arkadaş
important,önemli
father,baba
sit,oturmak
away,uzak
until,a kadar
power,güç
hour,saat
game,oyun
often,sıklıkla
yet,henüz
line,astar
political,siyasi
end,son
among,arasında
ever,durmadan
stand,durmak
bad,kötü
lose,kaybetmek
however,fakat
member,üye
pay,ödemek
law,yasa
meet,tanışmak
car,araba
city,Kent
almost,hemen hemen
include,Dahil etmek
continue,devam et
set,Ayarlamak
later,sonra
community,toplum
name,isim
five,beş
once,bir Zamanlar
white,beyaz
least,en az
president,Devlet Başkanı
learn,öğrenmek
real,gerçek
change,değiştirmek
team,takım
minute,dakika
best,en iyi
several,birçok
idea,fikir
kid,çocuk
body,gövde
information,bilgi
nothing,hiç bir şey
ago,evvel
lead,öncülük etmek
social,sosyal
understand,anlamak
whether,ikisinden biri
watch,izlemek
together,bir arada
follow,takip et
parent,ebeveyn
stop,Dur
face,yüz
anything,herhangi bir şey
create,oluşturmak
public,halka açık
already,çoktan
speak,konuşmak
others,diğerleri
read,okuman
level,seviyesi
allow,izin vermek
add,Ekle
office,ofis
spend,harcamak
door,kapı
health,sağlık
person,kişi
art,Sanat
sure,Elbette
war,savaş
history,Tarih
party,Parti
within,içinde
grow,büyümek
result,sonuç
open,açık
morning,sabah
walk,yürümek
reason,sebep
low,düşük
win,kazanç
research,Araştırma
girl,kız
guy,insan
early,erken
food,Gıda
moment,an
himself,kendisi
air,hava
teacher,öğretmen
force,Kuvvet
offer,teklif
enough,yeterli
education,Eğitim
across,karşısında
although,olmasına rağmen
remember,hatırlamak
foot,ayak
second,ikinci
boy,oğlan
maybe,belki
toward,karşı
able,hünerli
age,yaş
policy,politika
everything,her şey
love,aşk
process,işlem
music,müzik
including,içermek
consider,düşünmek
appear,belli olmak
actually,aslında
buy,satın almak
probably,muhtemelen
human,insan
wait,Bekle
serve,servis
market,pazar
die,ölmek
send,göndermek
expect,beklemek
sense,algı
build,inşa etmek
stay,kalmak
fall,sonbahar
oh,ah
nation,ulus
plan,plan
cut,kesmek
college,kolej
interest,faiz
death,ölüm
course,kurs
someone,birisi
experience,deneyim
behind,arka
reach,ulaşmak
local,yerel
kill,öldürmek
six,altı
remain,kalmak
effect,Efekt
yeah,Evet
suggest,önermek
class,sınıf
control,kontrol
raise,artırmak
care,bakım
perhaps,belki
late,geç
hard,sert
